Tipuri de lucrari si tipuri de constructii, Luni, UM: Procente, Valoare
TOTAL COST MATERIALE, Luna martie 2015, Procente, 78.4
TOTAL COST MATERIALE, Luna aprilie 2015, Procente, 76
TOTAL COST MATERIALE, Luna mai 2015, Procente, 75.9
TOTAL COST MATERIALE, Luna iunie 2015, Procente, 74.8
TOTAL COST MATERIALE, Luna iulie 2015, Procente, 74.2
TOTAL COST MATERIALE, Luna august 2015, Procente, 73
TOTAL COST MATERIALE, Luna septembrie 2015, Procente, 70.1
TOTAL COST MATERIALE, Luna octombrie 2015, Procente, 67.9
TOTAL COST MATERIALE, Luna noiembrie 2015, Procente, 69.2
TOTAL COST MATERIALE, Luna decembrie 2015, Procente, 67.6
TOTAL COST MATERIALE, Luna ianuarie 2016, Procente, 70.8
TOTAL COST MATERIALE, Luna februarie 2016, Procente, 70.3
TOTAL COST MATERIALE, Luna martie 2016, Procente, 66.9
TOTAL COST MATERIALE, Luna aprilie 2016, Procente, 71.1
TOTAL COST MATERIALE, Luna mai 2016, Procente, 68.3
TOTAL COST MATERIALE, Luna iunie 2016, Procente, 70.4
TOTAL COST MATERIALE, Luna iulie 2016, Procente, 69.6
TOTAL COST MATERIALE, Luna august 2016, Procente, 68.2
TOTAL COST MATERIALE, Luna septembrie 2016, Procente, 67.9
TOTAL COST MATERIALE, Luna octombrie 2016, Procente, 70
TOTAL COST MATERIALE, Luna noiembrie 2016, Procente, 69.9
TOTAL COST MATERIALE, Luna decembrie 2016, Procente, 72.2
TOTAL COST MATERIALE, Luna ianuarie 2017, Procente, 74.5
TOTAL COST MATERIALE, Luna februarie 2017, Procente, 75.9
TOTAL COST MATERIALE, Luna martie 2017, Procente, 75.6
TOTAL COST MATERIALE, Luna aprilie 2017, Procente, 74.7
TOTAL COST MATERIALE, Luna mai 2017, Procente, 73.4
TOTAL COST MATERIALE, Luna iunie 2017, Procente, 74.5
TOTAL COST MATERIALE, Luna iulie 2017, Procente, 74.3
TOTAL COST MATERIALE, Luna august 2017, Procente, 75
TOTAL COST MATERIALE, Luna septembrie 2017, Procente, 77
TOTAL COST MATERIALE, Luna octombrie 2017, Procente, 76.9
TOTAL COST MATERIALE, Luna noiembrie 2017, Procente, 78.2
TOTAL COST MATERIALE, Luna decembrie 2017, Procente, 80
TOTAL COST MATERIALE, Luna ianuarie 2018, Procente, 77
TOTAL COST MATERIALE, Luna februarie 2018, Procente, 80.6
TOTAL COST MATERIALE, Luna martie 2018, Procente, 79.3
TOTAL COST MATERIALE, Luna aprilie 2018, Procente, 77.4
TOTAL COST MATERIALE, Luna mai 2018, Procente, 77.5
TOTAL COST MATERIALE, Luna iunie 2018, Procente, 79.8
TOTAL COST MATERIALE, Luna iulie 2018, Procente, 81.7
TOTAL COST MATERIALE, Luna august 2018, Procente, 82
TOTAL COST MATERIALE, Luna septembrie 2018, Procente, 79.2
TOTAL COST MATERIALE, Luna octombrie 2018, Procente, 84.8
TOTAL COST MATERIALE, Luna noiembrie 2018, Procente, 85.4
TOTAL COST MATERIALE, Luna decembrie 2018, Procente, 81
TOTAL COST MATERIALE, Luna ianuarie 2019, Procente, 79.6
TOTAL COST MATERIALE, Luna februarie 2019, Procente, 79.7
TOTAL COST MATERIALE, Luna martie 2019, Procente, 82.5
TOTAL COST MATERIALE, Luna aprilie 2019, Procente, 84.2
TOTAL COST MATERIALE, Luna mai 2019, Procente, 86.1
TOTAL COST MATERIALE, Luna iunie 2019, Procente, 83.9
TOTAL COST MATERIALE, Luna iulie 2019, Procente, 85.5
TOTAL COST MATERIALE, Luna august 2019, Procente, 83.2
TOTAL COST MATERIALE, Luna septembrie 2019, Procente, 80.4
TOTAL COST MATERIALE, Luna octombrie 2019, Procente, 82.1
TOTAL COST MATERIALE, Luna noiembrie 2019, Procente, 82.7
TOTAL COST MATERIALE, Luna decembrie 2019, Procente, 81
TOTAL COST MATERIALE, Luna ianuarie 2020, Procente, 81.1
TOTAL COST MATERIALE, Luna februarie 2020, Procente, 80.9
TOTAL COST MATERIALE, Luna martie 2020, Procente, 80.5
TOTAL COST MATERIALE, Luna aprilie 2020, Procente, 79.4
TOTAL COST MATERIALE, Luna mai 2020, Procente, 77.6
TOTAL COST MATERIALE, Luna iunie 2020, Procente, 79.3
TOTAL COST MATERIALE, Luna iulie 2020, Procente, 80.7
TOTAL COST MATERIALE, Luna august 2020, Procente, 80.8
TOTAL COST MATERIALE, Luna septembrie 2020, Procente, 80.9
TOTAL COST MATERIALE, Luna octombrie 2020, Procente, 80.2
TOTAL COST MATERIALE, Luna noiembrie 2020, Procente, 80.8
TOTAL COST MATERIALE, Luna decembrie 2020, Procente, 80.7
TOTAL COST MATERIALE, Luna ianuarie 2021, Procente, 80.4
TOTAL COST MATERIALE, Luna februarie 2021, Procente, 81
TOTAL COST MATERIALE, Luna martie 2021, Procente, 85.7
TOTAL COST MATERIALE, Luna aprilie 2021, Procente, 93.4
TOTAL COST MATERIALE, Luna mai 2021, Procente, 98.2
TOTAL COST MATERIALE, Luna iunie 2021, Procente, 102.1
TOTAL COST MATERIALE, Luna iulie 2021, Procente, 105.6
TOTAL COST MATERIALE, Luna august 2021, Procente, 107.1
TOTAL COST MATERIALE, Luna septembrie 2021, Procente, 108.5
TOTAL COST MATERIALE, Luna octombrie 2021, Procente, 111.2
TOTAL COST MATERIALE, Luna noiembrie 2021, Procente, 115.1
TOTAL COST MATERIALE, Luna decembrie 2021, Procente, 111.6
TOTAL COST MATERIALE, Luna ianuarie 2022, Procente, 114.5
TOTAL COST MATERIALE, Luna februarie 2022, Procente, 116.7
TOTAL COST MATERIALE, Luna martie 2022, Procente, 128.8
TOTAL COST MATERIALE, Luna aprilie 2022, Procente, 132.2
TOTAL COST MATERIALE, Luna mai 2022, Procente, 133.9
TOTAL COST MATERIALE, Luna iunie 2022, Procente, 136
TOTAL COST MATERIALE, Luna iulie 2022, Procente, 139.4
TOTAL COST MATERIALE, Luna august 2022, Procente, 127.9
TOTAL COST MATERIALE, Luna septembrie 2022, Procente, 125.7
TOTAL COST MATERIALE, Luna octombrie 2022, Procente, 127.5
TOTAL COST MATERIALE, Luna noiembrie 2022, Procente, 128.9
TOTAL COST MATERIALE, Luna decembrie 2022, Procente, 123
TOTAL COST MATERIALE, Luna ianuarie 2023, Procente, 123.6
TOTAL COST MATERIALE, Luna februarie 2023, Procente, 122.9
TOTAL COST MATERIALE, Luna martie 2023, Procente, 124.1
TOTAL COST MATERIALE, Luna aprilie 2023, Procente, 123.9
TOTAL COST MATERIALE, Luna mai 2023, Procente, 122.8
TOTAL COST MATERIALE, Luna iunie 2023, Procente, 124.2
TOTAL COST MATERIALE, Luna iulie 2023, Procente, 124.9
TOTAL COST MATERIALE, Luna august 2023, Procente, 126.9
TOTAL COST MATERIALE, Luna septembrie 2023, Procente, 129.9
TOTAL COST MATERIALE, Luna octombrie 2023, Procente, 126.8
TOTAL COST MATERIALE, Luna noiembrie 2023, Procente, 124.6
TOTAL COST MATERIALE, Luna decembrie 2023, Procente, 120.7
TOTAL COST MATERIALE, Luna ianuarie 2024, Procente, 130.5
TOTAL COST MATERIALE, Luna februarie 2024, Procente, 129.6
TOTAL COST MATERIALE, Luna martie 2024, Procente, 133
TOTAL COST MATERIALE, Luna aprilie 2024, Procente, 136.7
TOTAL COST MATERIALE, Luna mai 2024, Procente, 136.9
TOTAL COST MATERIALE, Luna iunie 2024, Procente, 136.3
TOTAL COST MATERIALE, Luna iulie 2024, Procente, 138.1
TOTAL COST MATERIALE, Luna august 2024, Procente, 131
TOTAL COST MATERIALE, Luna septembrie 2024, Procente, 129.6
TOTAL COST MATERIALE, Luna octombrie 2024, Procente, 130.3
TOTAL COST MATERIALE, Luna noiembrie 2024, Procente, 128
TOTAL COST MATERIALE, Luna decembrie 2024, Procente, 129
TOTAL COST MATERIALE, Luna ianuarie 2025, Procente, 129.3
TOTAL COST MATERIALE, Luna februarie 2025, Procente, 129.2
TOTAL COST MATERIALE, Luna martie 2025, Procente, 131.7
TOTAL COST MATERIALE, Luna aprilie 2025, Procente, 132.2
TOTAL COST MATERIALE, Luna mai 2025, Procente, 131.7
TOTAL COST MATERIALE, Luna iunie 2025, Procente, 135.3
TOTAL COST MATERIALE, Luna iulie 2025, Procente, 130.9
TOTAL COST MATERIALE, Luna august 2025, Procente, 133.4
TOTAL COST MATERIALE, Luna septembrie 2025, Procente, 134.4
TOTAL COST MATERIALE, Luna octombrie 2025, Procente, 131.6
TOTAL COST MATERIALE, Luna noiembrie 2025, Procente, 135.8
TOTAL COST MATERIALE, Luna decembrie 2025, Procente, 136.3
TOTAL COST MATERIALE, Luna ianuarie 2026, Procente, 135.2
TOTAL COST MATERIALE, Luna februarie 2026, Procente, 135.5
TOTAL COST MATERIALE, Luna martie 2026, Procente, 142.7
